Date;;Returns
20091015;63,554;3,144829446
20091016;65,585;0,992045729
20091019;66,239;1,008020942
20091020;66,910;-0,683829515
20091021;66,454;3,122664985
20091022;68,562;-0,22613075
20091023;68,407;-0,744811876
20091026;67,899;-2,125832392
20091027;66,471;0,85063021
20091028;67,039;-2,679312307
20091029;65,266;2,833197949
20091030;67,142;-3,70702848
20091102;64,699;1,779289115
20091103;65,860;2,017396752
20091104;67,202;0,993638748
20091105;67,873;-1,147386376
20091106;67,099;-2,755926399
20091109;65,275;2,473440336
20091110;66,910;-0,347781635
20091111;66,677;0,53510129
20091112;67,035;-2,482921658
20091113;65,391;-0,600994754
20091116;64,999;3,160126247
20091117;67,086;0,266277974
20091118;67,265;0,631155844
20091119;67,691;-2,329683365
20091120;66,132;-0,568330127
20091123;65,758;0,336221706
20091124;65,979;-1,299394582
20091125;65,127;2,556627306
20091126;66,814;-1,865845804
20091127;65,579;0,246481282
20091130;65,740;1,657603003
20091201;66,839;1,115206083
20091202;67,589;-1,869926647
20091203;66,337;0,614441257
20091204;66,746;-1,077762549
20091207;66,030;-1,416067833
20091208;65,102;-1,635704586
20091209;64,045;-3,795007508
20091210;61,660;-0,734838662
20091211;61,209;0,027828023
20091214;61,226;0,013911108
20091215;61,235;0,222314945
20091216;61,371;1,929932148
20091217;62,567;-1,246122044
20091218;61,792;0,516586249
20091221;62,112;-1,035854976
20091222;61,472;0,641859493
20091223;61,868;2,672914482
20091224;63,544;1,133380609
20091228;64,268;1,314866304
20091229;65,119;0,413010396
20091230;65,388;0,501060983
20091231;65,717;-0,128238027
20100104;65,632;2,771452294
20100105;67,477;0,584906154
20100106;67,873;1,600231095
20100107;68,967;-0,465117118
20100108;68,647;-0,17190574
20100111;68,530;-0,492793901
20100112;68,193;-2,084058706
20100113;66,786;-1,273260189
20100114;65,941;-0,317682458
20100115;65,732;-1,875697334
20100118;64,511;-0,012969328
20100119;64,502;0,685066985
20100120;64,946;-1,701892328
20100121;63,850;-2,306265239
20100122;62,394;-2,374441652
20100125;60,930;1,173914655
20100126;61,649;-0,544293084
20100127;61,315;-1,443026483
20100128;60,436;-0,152386259
20100129;60,344;-0,933219392
20100201;59,784;2,282730371
20100202;61,164;3,955734619
20100203;63,632;-0,18423482
20100204;63,515;-5,121010779
20100205;60,344;-3,584916766
20100208;58,219;0,744455836
20100209;58,654;2,84046093
20100210;60,344;0,617328252
20100211;60,718;1,358347427
20100212;61,548;-1,65967624
20100215;60,535;-0,536415563
20100216;60,211;4,278944136
20100217;62,844;0,776575143
20100218;63,334;1,960465255
20100219;64,588;0,525743341
20100222;64,928;0,535715567
20100223;65,277;-1,745200203
20100224;64,147;1,08150919
20100225;64,845;-2,332013957
20100226;63,350;1,68966848
20100301;64,430;-0,906272386
20100302;63,849;1,663803132
20100303;64,920;1,359355239
20100304;65,808;-0,899936361
20100305;65,219;1,704263934
20100308;66,340;0,723375566
20100309;66,821;-0,698344277
20100310;66,356;0,807809028
20100311;66,895;-0,024758604
20100312;66,878;-1,007909982
20100315;66,207;-1,677320363
20100316;65,106;2,38764798
20100317;66,679;1,760153756
20100318;67,863;-0,587373201
20100319;67,466;-1,983208281
20100322;66,141;0,822844688
20100323;66,688;0,198461985
20100324;66,820;-1,34732577
20100325;65,926;-0,012560447
20100326;65,917;-0,402769582
20100329;65,653;2,343370349
20100330;67,209;0,135426306
20100331;67,300;1,73196182
20100401;68,476;1,571623735
20100405;69,561;2,201513363
20100406;71,109;0,313898996
20100407;71,333;-0,652150908
20100408;70,869;-0,915499352
20100409;70,223;0,023579345
20100412;70,240;-0,07075472
20100413;70,190;-0,059000533
20100414;70,149;1,472234323
20100415;71,189;0,79088039
20100416;71,754;-1,843582575
20100419;70,444;-2,06798581
20100420;69,002;0,674439047
20100421;69,469;1,055728281
20100422;70,206;-0,035011963
20100423;70,181;1,827485511
20100426;71,476;-0,482537701
20100427;71,132;-1,216630498
20100428;70,271;0,442015376
20100429;70,583;0,855199942
20100430;71,189;0,61948116
20100503;71,631;1,700914121
20100504;72,860;-3,745927911
20100505;70,181;-3,63719674
20100506;67,675;-3,423136492
20100507;65,397;-1,973498584
20100510;64,119;2,336112298
20100511;65,635;0,460744231
20100512;65,938;0,91436175
20100513;66,544;-1,184168144
20100514;65,760;-4,393276762
20100517;62,934;-3,699042909
20100518;60,648;-0,89614724
20100519;60,107;-0,999198159
20100520;59,510;-2,542568078
20100521;58,016;-0,222965533
20100524;57,886;-0,714038736
20100525;57,475;-2,302546294
20100526;56,166;3,100255373
20100527;57,935;3,989600138
20100528;60,293;-0,860914653
20100531;59,776;0,847519703
20100601;60,285;-2,633159732
20100602;58,718;1,420206856
20100603;59,558;2,225889699
20100604;60,899;-4,50245538
20100607;58,218;0,041605992
20100608;58,242;0,249273083
20100609;58,387;2,63617834
20100610;59,947;1,470127795
20100611;60,835;-1,216946235
20100614;60,099;0,689657906
20100615;60,515;1,885366136
20100616;61,666;1,339880906
20100617;62,498;0,688690389
20100618;62,930;-0,586362419
20100621;62,562;0,764140244
20100622;63,042;-0,994525601
20100623;62,418;-2,294183958
20100624;61,003;0,261883088
20100625;61,163;2,134759895
20100628;62,482;-0,68075531
20100629;62,058;-2,810091458
20100630;60,339;-0,571620034
20100701;59,995;-3,624421146
20100702;57,859;-0,958407225
20100705;57,307;-0,251537304
20100706;57,163;-0,027987686
20100707;57,147;2,842354701
20100708;58,795;1,61925006
20100709;59,755;0,945853984
20100712;60,323;-1,401985712
20100713;59,483;3,01969706
20100714;61,306;-0,091270624
20100715;61,251;-0,746320976
20100716;60,795;-0,950753233
20100719;60,220;0,331148061
20100720;60,420;0,790309698
20100721;60,899;-1,121457759
20100722;60,220;3,19891497
20100723;62,177;-0,476590069
20100726;61,882;0,06453695
20100727;61,922;-1,783553104
20100728;60,827;-0,091990282
20100729;60,771;1,991605041
20100730;61,994;0,757530746
20100802;62,465;3,321059929
20100803;64,574;2,275327516
20100804;66,060;-0,582243275
20100805;65,677;-0,720349858
20100806;65,206;-1,792716614
20100809;64,047;1,030105292
20100810;64,710;-1,731159741
20100811;63,600;-2,516412733
20100812;62,019;-2,844532327
20100813;60,280;-0,501916256
20100816;59,978;0,145550803
20100817;60,065;1,70428876
20100818;61,098;-0,599741041
20100819;60,733;-1,541837225
20100820;59,803;-1,390768606
20100823;58,977;-0,86557208
20100824;58,469;-1,698670982
20100825;57,484;1,508324221
20100826;58,358;2,074148431
20100827;59,581;2,149486066
20100830;60,875;-0,065252857
20100831;60,836;-2,592052021
20100901;59,279;2,265147513
20100902;60,637;0,756788581
20100903;61,098;-0,33854199
20100906;60,891;0,260518579
20100907;61,050;1,125424206
20100908;61,741;0,551601681
20100909;62,083;-0,899517759
20100910;61,527;0,886724309
20100913;62,075;1,106951948
20100914;62,766;0,164359352
20100915;62,869;0,189047885
20100916;62,988;-1,190641045
20100917;62,242;-0,344629864
20100920;62,028;1,409278704
20100921;62,909;-1,141130679
20100922;62,195;-0,601140136
20100923;61,822;0,205049412
20100924;61,949;0,968283779
20100927;62,552;-0,381098022
20100928;62,314;0,178026497
20100929;62,425;2,58353973
20100930;64,059;1,888699753
20101001;65,280;1,734356372
20101004;66,422;-0,56277464
20101005;66,049;1,855870539
20101006;67,286;0,258976013
20101007;67,461;-1,934893291
20101008;66,168;0,716592103
20101011;66,644;-0,369598036
20101012;66,398;-0,263126572
20101013;66,224;1,149778565
20101014;66,990;-0,769007043
20101015;66,476;-2,100287224
20101018;65,095;2,301983917
20101019;66,611;-3,952892706
20101020;64,029;3,036055897
20101021;66,003;-2,139959555
20101022;64,605;1,371463938
20101025;65,497;0,696699515
20101026;65,955;0,143540695
20101027;66,050;-0,515310626
20101028;65,711;0,431603595
20101029;65,995;-0,527769007
20101101;65,647;1,752443965
20101102;66,808;0,929254467
20101103;67,432;1,129297757
20101104;68,197;1,858064695
20101105;69,476;0,12492194
20101108;69,563;0,396443856
20101109;69,840;-0,147067168
20101110;69,737;0,709103089
20101111;70,233;-0,067317404
20101112;70,186;-2,926815986
20101115;68,162;0,265451134
20101116;68,343;-2,367595575
20101117;66,744;-1,72613059
20101118;65,601;2,103089454
20101119;66,996;-0,838307052
20101122;66,436;-0,451575337
20101123;66,137;-0,849236609
20101124;65,578;3,063696946
20101125;67,618;0,302431311
20101126;67,823;-0,605780045
20101129;67,413;2,035693707
20101130;68,800;-1,63919173
20101201;67,681;3,375799699
20101202;70,005;2,027246971
20101203;71,438;0,801717544
20101206;72,014;0,032810193
20101207;72,037;-0,065631155
20101208;71,990;-0,680722875
20101209;71,502;0,242077583
20101210;71,675;-0,562077856
20101213;71,273;0,781641014
20101214;71,832;0,021929825
20101215;71,848;0,817220566
20101216;72,438;-0,598641244
20101217;72,005;0,076390029
20101220;72,060;1,160470699
20101221;72,901;0,494784273
20101222;73,263;0,48167072
20101223;73,617;0,638639744
20101224;74,088;-0,51058509
20101227;73,711;0,08527876
20101228;73,774;0,563142327
20101229;74,191;-0,254615033
20101230;74,002;-1,121626884
20101231;73,177;1,767507683
20110103;74,481;0,094941723
20110104;74,552;-1,390902075
20110105;73,522;2,084400704
20110106;75,071;-1,031479517
20110107;74,301;-1,266985274
20110110;73,365;2,507669888
20110111;75,228;1,976164873
20110112;76,730;0,369648229
20110113;77,014;-0,287386013
20110114;76,793;1,114132238
20110117;77,653;-0,970335993
20110118;76,903;0,37904056
20110119;77,195;0,367422336
20110120;77,480;-1,622711996
20110121;76,232;1,050581297
20110124;77,038;-1,019523789
20110125;76,256;-1,417724152
20110126;75,183;2,754367536
20110127;77,282;-0,532515339
20110128;76,872;2,062976469
20110131;78,474;1,586622117
20110201;79,729;0,720101755
20110202;80,305;0,588006398
20110203;80,779;-0,568350379
20110204;80,321;-1,914836024
20110207;78,798;-0,582681978
20110208;78,340;0,672794625
20110209;78,869;1,77484446
20110210;80,281;-0,863766658
20110211;79,591;-0,494120978
20110214;79,198;2,097910487
20110215;80,877;-1,406822733
20110216;79,748;2,083611549
20110217;81,427;-1,153281184
20110218;80,493;-0,06825606
20110221;80,438;3,092534931
20110222;82,964;0,037821483
20110223;82,996;5,041845541
20110224;87,288;0,098827554
20110225;87,374;0,697989411
20110228;87,986;-0,303652997
20110301;87,719;3,186608856
20110302;90,559;0,802524047
20110303;91,289;-1,349851767
20110304;90,065;1,022716489
20110307;90,991;-0,8051643
20110308;90,261;-1,736124273
20110309;88,708;2,515416466
20110310;90,967;-0,440853028
20110311;90,567;-1,387033185
20110314;89,320;-0,149444008
20110315;89,186;-4,636502591
20110316;85,146;1,834076686
20110317;86,722;3,814209577
20110318;90,093;-0,847796014
20110321;89,333;0,900001706
20110322;90,140;0,641639243
20110323;90,721;-0,129729748
20110324;90,603;0,147014339
20110325;90,736;-0,11240328
20110328;90,634;-0,685796342
20110329;90,015;0,313098186
20110330;90,297;-0,026054106
20110331;90,274;1,918420915
20110401;92,022;1,135316778
20110404;93,073;1,968698885
20110405;94,923;0,9536409
20110406;95,833;0,065434323
20110407;95,896;0,302078035
20110408;96,186;3,19295534
20110411;99,306;-2,130711417
20110412;97,213;-2,499109236
20110413;94,814;1,565363979
20110414;96,309;-0,270126633
20110415;96,050;1,181517106
20110418;97,191;-1,50170128
20110419;95,743;-0,230509693
20110420;95,522;2,055704987
20110421;97,506;0,112976126
20110425;97,616;-0,266505306
20110426;97,357;0,387409686
20110427;97,734;0,794323589
20110428;98,514;-0,087947237
20110429;98,427;0,693478527
20110502;99,112;-0,613523298
20110503;98,506;-2,15704934
20110504;96,404;-1,034322142
20110505;95,412;-8,963278767
20110506;87,232;-1,518694219
20110509;85,917;6,018791822
20110510;91,247;1,481635463
20110511;92,609;-4,480120521
20110512;88,552;0,329930301
20110513;88,844;0,842166229
20110516;89,596;-2,177490995
20110517;87,666;-0,769826743
20110518;86,994;2,078440918
20110519;88,821;-0,786701715
20110520;88,125;0,866812094
20110523;88,892;-2,05859218
20110524;87,081;2,183080903
20110525;89,003;2,110339462
20110526;90,901;0,10435691
20110527;90,996;-0,017385257
20110530;90,980;-0,304732289
20110531;90,703;1,771793465
20110601;92,324;-1,902677825
20110602;90,584;0,877999294
20110603;91,383;0,259313828
20110606;91,621;-1,180979339
