Date;Prices;Returns
20090202;13,174;-4,841048942
20090203;12,380;-6,212042554
20090204;12,170;-1,711068361
20090205;11,902;-2,229854872
20090206;11,750;-1,282701356
20090209;11,727;-0,198807223
20090210;10,887;-7,433761965
20090211;9,907;-9,434601454
20090212;9,568;-3,475484605
20090213;10,070;5,111035083
20090216;9,802;-2,701279925
20090217;10,082;2,817087697
20090218;11,295;11,36593185
20090219;12,614;11,04097304
20090220;11,634;-8,089104768
20090223;11,249;-3,365947535
20090224;10,922;-2,947581813
20090225;11,365;3,979582716
20090226;12,369;8,461288346
20090227;11,774;-4,930916675
20090302;11,739;-0,297766969
20090303;12,812;8,750827141
20090304;13,582;5,837200622
20090305;13,174;-3,053006414
20090306;12,637;-4,159731715
20090309;13,594;7,2986119
20090310;14,014;3,043345608
20090311;13,641;-2,700586061
20090312;13,851;1,528043314
20090313;14,341;3,477171496
20090316;14,679;2,332232769
20090317;15,122;2,975943965
20090318;14,492;-4,255961442
20090319;13,734;-5,375415523
20090320;13,162;-4,25226752
20090323;13,932;5,686286189
20090324;13,150;-5,774977991
20090325;12,404;-5,84641357
20090326;12,777;2,965926391
20090327;13,057;2,168106606
20090330;13,069;0,089325598
20090331;13,711;4,793946229
20090401;14,259;3,922071315
20090402;14,166;-0,656816811
20090403;14,609;3,082158004
20090406;14,831;1,506171953
20090407;14,481;-2,388648598
20090408;14,924;3,016101637
20090409;15,624;4,584454411
20090414;16,628;6,224874701
20090415;16,254;-2,271211892
20090416;16,254;0
20090417;16,114;-0,865182037
20090420;15,321;-5,049327911
20090421;15,426;0,683114611
20090422;15,834;2,613063942
20090423;15,683;-0,962613875
20090424;16,033;2,20759517
20090427;15,881;-0,950647013
20090428;15,683;-1,256948157
20090429;16,021;2,134788468
20090430;16,639;3,787519521
20090501;16,803;0,97697916
20090504;17,246;2,604670894
20090505;16,534;-4,214786182
20090506;17,036;2,989447501
20090507;17,328;1,697833653
20090508;18,145;4,606077338
20090511;18,518;2,036989591
20090512;17,631;-4,907375825
20090513;17,188;-2,547054581
20090514;16,849;-1,988409701
20090515;16,429;-2,524678273
20090518;16,779;2,108300156
20090519;17,071;1,723586274
20090520;17,748;3,887889124
20090521;17,503;-1,390290517
20090522;17,701;1,126959226
20090525;17,701;0
20090526;17,515;-1,060314772
20090527;17,760;1,389370679
20090528;17,701;-0,329055907
20090529;17,398;-1,728766458
20090601;17,701;1,728766458
20090602;17,456;-1,393982081
20090603;16,674;-4,58199806
20090604;16,593;-0,491056757
20090605;16,476;-0,705719231
20090608;15,589;-5,532706396
20090609;15,391;-1,280620138
20090610;15,543;0,980769838
20090611;15,659;0,747946643
20090612;15,227;-2,795799777
20090615;14,457;-5,189843813
20090616;15,122;4,497799528
20090617;15,087;-0,231749814
20090618;15,041;-0,309837583
20090619;15,578;3,50645679
20090622;15,111;-3,04205967
20090623;15,192;0,539084863
20090624;15,543;2,278002833
20090625;15,718;1,119832531
20090626;15,636;-0,521028347
20090629;15,823;1,186957556
20090630;15,473;-2,237229775
20090701;15,449;-0,150943425
20090702;15,286;-1,06303203
20090703;15,204;-0,535783907
20090706;15,227;0,153374263
20090707;15,368;0,915338199
20090708;15,659;1,880461579
20090709;16,103;2,792246062
20090710;16,336;1,438873745
20090713;17,129;4,742869357
20090714;16,639;-2,90276082
20090715;16,931;1,737965191
20090716;16,954;0,137741069
20090717;16,441;-3,075015167
20090720;16,523;0,495576235
20090721;16,896;2,234729869
20090722;16,791;-0,623486606
20090723;16,838;0,277585189
20090724;16,698;-0,835077922
20090727;16,488;-1,265839687
20090728;16,103;-2,363160453
20090729;15,881;-1,38637755
20090730;16,033;0,950647013
20090731;15,998;-0,218579322
20090803;16,814;4,979691644
20090804;17,048;1,378381575
20090805;16,733;-1,865339059
20090806;16,744;0,069710703
20090807;16,709;-0,209278067
20090810;16,569;-0,841519693
