Date;Brent 1M
20110916;91,503
20110919;91,437
20110920;88,928
20110921;90,069
20110922;89,922
20110923;85,954
20110926;84,715
20110927;84,691
20110928;87,298
20110929;84,585
20110930;84,699
20111003;83,729
20111004;82,874
20111005;81,309
20111006;83,705
20111007;86,149
20111010;86,272
20111011;88,773
20111012;90,223
20111013;90,992
20111014;91,184
20111017;93,714
20111018;91,985
20111019;92,812
20111020;90,507
20111021;91,651
20111024;91,484
20111025;93,062
20111026;92,62
20111027;90,942
20111028;93,589
20111031;91,777
20111101;91,484
20111102;91,468
20111103;91,301
20111104;92,545
20111107;93,497
20111108;95,659
20111109;96,027
20111110;93,935
20111111;94,922
20111114;95,259
20111115;93,867
20111116;94,627
20111117;94,373
20111118;91,286
20111121;90,729
20111122;90,156
20111123;91,969
20111124;90,274
20111125;90,915
20111128;89,751
20111129;91,944
20111130;93,479
20111201;93,226
20111202;91,936
20111205;92,737
20111206;92,627
20111207;93,471
20111208;92,391
20111209;91,193
20111212;91,624
20111213;90,476
20111214;92,366
20111215;88,276
20111216;87,726
20111219;87,514
20111220;87,759
20111221;90,376
20111222;91,206
20111223;91,358
20111228;92,527
20111229;91,079
20111230;91,46
20120103;90,926
20120104;94,949
20120105;96,278
20120106;95,465
20120109;95,736
20120110;95,22
20120111;95,922
20120112;95,158
20120113;94,3
20120116;93,706
20120117;94,547
20120118;94,708
20120119;93,969
20120120;94,725
20120123;93,29
20120124;93,901
20120125;93,434
20120126;93,247
20120127;94,08
20120130;94,649
20120131;94,046
20120201;94,241
20120202;94,733
20120203;95,167
20120206;97,298
20120207;98,444
20120208;98,699
20120209;99,407
20120210;100,608
20120213;99,509
20120214;100,054
20120215;100,02
20120216;101,367
20120217;102,373
20120220;101,921
20120221;102,321
20120222;103,694
20120223;104,751
20120224;105,364
20120227;106,941
20120228;105,833
20120229;103,6
20120301;104,546
20120302;107,563
20120305;105,39
20120306;105,518
20120307;103,966
20120308;105,79
20120309;106,916
20120312;107,376
20120313;106,83
20120314;107,58
20120315;106,647
20120316;104,952
20120319;107,7
20120320;107,615
20120321;106,253
20120322;106,322
20120323;105,415
20120326;107,118
20120327;107,563
20120328;107,469
20120329;106,288
20120330;104,772
20120402;105,192
20120403;107,375
20120404;106,887
20120405;104,73
20120410;105,012
20120411;102,624
20120412;102,942
20120413;104,359
20120416;104,092
20120417;101,92
20120418;102,005
20120419;101,31
20120420;101,336
20120423;101,988
20120424;101,945
20120425;101,473
20120426;102,297
20120427;102,984
20120430;102,907
20120501;102,598
20120502;102,761
20120503;101,507
20120504;99,687
20120507;97,196
20120508;97,179
20120509;96,81
20120510;97,213
20120511;96,81
20120514;96,406
20120515;95,814
20120516;96,389
20120517;94,919
20120518;92,964
20120521;92,661
20120522;94,106
20120523;93,76
20120524;91,295
20120525;92,151
20120528;92,393
20120529;92,636
20120530;92,264
20120531;89,487
20120601;88,104
20120604;85,129
20120605;85,492
20120606;85,483
20120607;87,04
20120608;86,426
