Date;Carbon F
20100510;17,558
20100511;18,052
20100512;18,11
20100513;18,202
20100514;18,006
20100517;17,373
20100518;17,592
20100519;16,936
20100520;16,913
20100521;17,086
20100524;17,742
20100525;17,489
20100526;18,064
20100527;17,822
20100528;17,385
20100531;17,385
20100601;17,419
20100602;17,569
20100603;17,558
20100604;17,65
20100607;17,512
20100608;18,052
20100609;18,133
20100610;17,788
20100611;17,972
20100614;18,271
20100615;18,167
20100616;17,914
20100617;18,075
20100618;18,144
20100621;18,225
20100622;17,65
20100623;17,684
20100624;17,546
20100625;17,742
20100628;17,753
20100629;17,512
20100630;17,558
20100701;17,546
20100702;17,673
20100705;17,707
20100706;17,466
20100707;17,086
20100708;16,568
20100709;16,856
20100712;16,188
20100713;15,935
20100714;16,119
20100715;16,05
20100716;16,407
20100719;16,752
20100720;16,372
20100721;16,039
20100722;16,395
20100723;16,119
20100726;15,567
20100727;15,786
20100728;15,832
20100729;16,131
20100730;16,28
20100802;16,672
20100803;16,603
20100804;16,488
20100805;16,499
20100806;16,372
20100809;16,764
20100810;16,683
20100811;16,568
20100812;16,603
20100813;16,672
20100816;16,58
20100817;16,672
20100818;16,568
20100819;17,166
20100820;17,339
20100823;17,051
20100824;17,212
20100825;17,707
20100826;17,558
20100827;17,592
20100830;17,788
20100831;17,569
20100901;17,707
20100902;18,156
20100903;18,11
20100906;18,087
20100907;18,11
20100908;17,96
20100909;17,845
20100910;17,581
20100913;17,604
20100914;17,569
20100915;17,742
20100916;17,558
20100917;17,615
20100920;17,281
20100921;17,155
20100922;17,293
20100923;17,132
20100924;17,604
20100927;17,707
20100928;18,029
20100929;18,006
20100930;17,73
20101001;17,673
20101004;17,569
20101005;17,914
20101006;17,914
20101007;17,799
20101008;17,914
20101011;18,225
20101012;18,121
20101013;17,983
20101014;17,88
20101015;17,776
20101018;17,696
20101019;17,293
20101020;17,431
20101021;17,097
20101022;17,339
20101025;17,442
20101026;17,258
20101027;17,373
20101028;17,155
20101029;16,833
20101101;16,902
20101102;16,925
20101103;16,902
20101104;16,545
20101105;16,695
20101108;16,384
20101109;16,453
20101110;16,672
20101111;17,074
20101112;17,143
20101115;17,385
20101116;16,833
20101117;17,12
20101118;17,189
20101119;17,212
20101122;17,35
20101123;17,281
20101124;17,431
20101125;17,35
20101126;17,35
20101129;17,201
20101130;16,982
20101201;17,074
20101202;16,879
20101203;16,971
20101206;17,109
20101207;17,017
20101208;16,879
20101209;16,718
20101210;16,787
20101213;16,73
20101214;16,64
20101215;16,494
20101216;16,404
20101217;16,088
20101220;15,998
20101221;15,976
20101222;16,133
20101223;15,863
20101224;15,874
20101229;16,088
20101230;15,953
20110103;16,043
20110104;16,257
20110105;16,37
20110106;16,55
20110107;16,482
20110110;16,032
20110111;16,122
20110112;16,054
20110113;16,088
20110114;16,325
20110117;16,404
20110118;16,46
20110119;16,201
20110120;16,19
20110121;16,313
20110124;16,437
20110125;16,787
20110126;16,798
20110127;16,595
20110128;16,629
20110131;16,877
20110201;16,742
20110202;16,877
20110203;16,55
20110204;16,573
20110207;16,494
20110208;16,573
20110209;16,539
20110210;16,55
20110211;16,775
20110214;16,775
20110215;16,663
20110216;16,663
20110217;16,843
20110218;16,888
20110221;17,192
20110222;17,294
20110223;17,226
20110224;17,35
20110225;17,384
