;Returns;Returns;;
Date;Front December;1 month;2 months;3 months
20080620;-0,835608858;2,143528072;1,861450166;1,374033585
20080623;1,3048391;0,775569866;0,936089913;0,985589289
20080624;0,036003601;0,403862942;0,283481927;0,485560979
20080625;-0,68629491;-1,573207231;-1,396068429;-1,295222938
20080626;1,045619766;4,012793998;3,63545003;3,419690379
20080627;1,636464837;0,342686135;0,657920381;0,726352758
20080630;1,50589433;-0,342686135;-0,00705144;0,301680518
20080701;1,927770543;0,598932272;0,632646564;0,649375602
20080702;-4,676357946;2,520050531;2,107822612;1,909546872
20080703;-1,948113557;1,253718977;1,125715452;1,052820049
20080704;0,689783094;-1,142869582;-0,892710961;-0,732405281
20080707;-0,471442396;-1,78145757;-1,517375137;-1,191386909
20080708;-6,456275504;-3,909948275;-3,60150707;-3,248220609
20080709;0,887865319;0,109886096;0,072020169;0,021343958
20080710;2,504874796;3,912777936;3,820951369;3,495148523
20080711;2,845194691;1,717199811;1,914886416;1,479690152
20080714;-0,694574169;-0,395271136;-0,102023474;0,263629449
20080715;-3,509131981;-3,658383702;-3,842892055;-3,699541806
20080716;-5,025400101;-2,938507216;-2,694924073;-2,209878158
20080717;2,874779579;-3,552531848;-3,489155771;-3,372128852
20080718;-5,014978369;-0,673660972;-0,770280202;-0,691272682
20080721;-0,040824659;1,841756778;0;0
20080722;0,732305958;-2,334558268;-0,379766521;-0,111944487
20080723;0,283343642;-3,343585675;-3,138300523;-2,763338703
20080724;1,60388362;0,913683709;0,813330518;0,168737576
20080725;-0,798726291;-1,530154177;-1,577926526;-1,676945136
20080728;-2,148005585;1,054491318;0,976385709;0,938537042
20080729;-3,247579321;-2,518741076;-2,330664354;-2,051313982
20080730;-4,015216671;3,515033021;3,328645505;2,912261725
20080731;-2,859891066;-2,485391592;-2,283437122;-2,142966777
20080801;-3,131010823;0,161186366;0,443494827;0,809973276
20080804;-0,798313702;-2,858971165;0;0
20080805;2,145604697;-2,500340002;-5,247929967;-5,165261886
20080806;2,68625303;-0,596507947;-0,937088517;-1,017987611
20080807;2,484599859;0,732354461;0,469641923;0,230775673
20080808;-0,924505814;-3,919356266;-3,265596297;-2,492314875
20080811;0,176756564;-0,584072457;-0,433163633;-0,355120015
20080812;2,872260112;-1,358255177;-1,425285353;-1,459008006
20080813;1,532597048;2,067370749;1,962129659;1,771917899
20080814;-1,019117101;-1,023944535;-0,980612709;-0,788373515
20080815;-1,029610125;-0,998991644;-0,849503729;-0,503392557
20080818;1,710174215;-0,543455389;-0,511419861;-0,60915636
20080819;0,591717703;1,16347509;1,186357778;1,206122145
20080820;2,866239823;0,975360309;1,03420728;1,326088946
20080821;1,221016391;4,947282056;4,860075697;4,911774618
20080822;-0,567952845;-5,332774035;-5,336741678;-5,113353722
20080825;-0,85802365;0,096512401;0,182267984;0,386003668
20080826;1,425976495;0,524797846;0,536194314;0,426226043
20080827;1,684757057;1,377539652;1,345062043;1,201987365
20080828;0,119260599;-1,779638096;-1,820574114;-1,888182526
20080829;0,079428122;-0,105161696;-0,069354142;-0,151260533
20080901;-0,917254686;-4,153465524;-4,034874486;-3,465290901
20080902;-0,966191091;-0,982786326;-0,888814123;0,017410986
20080903;-1,098241667;-0,258780181;-0,365063835;-0,742653363
20080904;0,814668457;-1,642134307;-1,547990001;-1,386396881
20080905;-1,019376819;-2,100937582;-1,959835807;-1,740110281
20080908;-0,864380768;-0,626417506;-0,579326375;-0,4352564
20080909;-5,655066626;-3,042731541;-2,977503669;-2,680088578
20080910;-0,394477829;-1,242864687;-1,174966949;-1,164223083
20080911;1,308919211;-1,429524019;-1,559127114;-1,465018592
20080912;3,534538675;0,060392553;0,457666703;0,458935694
20080915;-3,70807451;-5,310616627;-5,163594667;-5,067594381
20080916;-0,522421737;-5,47394902;-5,726072086;-5,751856251
20080917;1,473163557;6,10860315;5,613476752;5,339567467
20080918;2,253975923;0,368363307;0,531155488;0,792898217
20080919;3,714830777;4,538766689;4,375168412;4,228049253
20080922;0,686455351;6,255382026;5,529308562;5,263881905
20080923;0,841519693;-2,831099564;-3,225481188;-3,215057511
20080924;-1,649604898;-0,61305111;-0,34364295;-0,404535102
20080925;0,081103005;2,076867695;2,259609256;2,430626714
20080926;-0,895771462;-1,018554016;-0,713015498;-0,627597814
20080929;-5,290906465;-9,68760178;-8,679741558;-8,066012504
20080930;-3,689483021;4,361867603;4,301306126;4,196144947
20081001;2,124913948;-2,93561132;-2,732246937;-2,51426224
20081002;1,348726122;-5,133194205;-5,261367962;-4,977258678
20081003;-0,302964958;-0,342901724;-0,298794374;-0,561682359
20081006;-4,386085078;-7,55835969;-6,81001267;-6,074197511
20081007;0,76697872;1,164323478;0,979060644;1,003592653
20081008;-1,99734284;-0,354987948;-0,056660436;-0,186720907
20081009;3,1146729;-2,035754653;-1,853387911;-1,562272094
20081010;-2,065632493;-10,94552387;-9,121925191;-7,994034924
20081013;3,56544005;4,448110366;3,968282599;3,541244551
20081014;1,951069911;-3,855994519;-3,438379769;-3,10672365
20081015;-2,038673946;-5,103148001;-4,860143151;-4,419996854
20081016;-4,069419083;-6,75374103;-6,564878058;-6,138806775
20081017;-1,055297704;2,561257586;2,218128187;2,158309533
20081020;0,551979322;3,431813156;3,083855054;2,841100183
20081021;-2,555307442;-3,259547825;-3,235736339;-2,77562516
20081022;-6,563716364;-7,751196739;-7,56078049;-7,359454502
20081023;1,446770059;2,146663234;1,77257226;1,357518573
20081024;-5,34070463;-6,050137395;-5,244985414;-4,856083267
20081027;-6,865705685;-1,036782331;-0,510481424;-0,570719336
20081028;-1,352133276;-1,840643584;-1,437075653;-1,270139657
20081029;4,546237408;8,242576995;7,368083788;6,960703085
20081030;-1,804806987;-2,725048632;-2,366274262;-1,67765713
20081031;-0,998344398;2,495673197;2,62900978;2,643448302
20081103;1,71322234;-7,698553623;-6,722434047;-5,489139714
20081104;3,711100773;9,398655287;9,284093763;9,314521962
20081105;-2,134552762;-7,12638752;-7,201167266;-6,468830549
20081106;-1,850896605;-7,446859467;-6,693360981;-5,774740308
20081107;2,656702738;-0,13939713;0,114220458;0,149253759
20081110;-0,967749488;2,971961409;2,480397737;1,553860343
20081111;-3,127826995;-5,873279363;-5,44296442;-4,566729211
20081112;0,05572583;-5,755574257;-5,436590148;-4,688604517
20081113;0;3,106064067;3,211445263;3,280021519
20081114;-2,93972554;-3,620960387;-3,549013319;-2,89416895
20081117;-2,321636486;-3,623108625;-3,698083168;-3,544095914
20081118;-2,859039285;-0,902550534;-1,002235561;-1,237888005
20081119;-1,338219484;-0,231749814;-0,392487187;-0,573938105
20081120;-9,030131221;-7,297826368;-7,180581286;-6,739797482
20081121;0,734560899;2,282406058;2,20882525;1,901402574
20081124;5,375201244;9,199655854;8,955030169;8,020670931
20081125;-0,632513178;-6,868829018;-6,198644484;-4,975816287
20081126;-0,828294;6,850284744;6,737052102;6,489393884
20081127;4,25862722;-1,475972614;-1,351493677;-1,137114267
20081128;-4,964890188;0,675298008;0,650996874;0,764915439
20081201;0,064412241;-10,8918905;-10,439967;-8,471475907
20081202;-1,100690944;-5,41830411;-4,984113642;-3,666178777
20081203;-0,915637529;0;0,31496089;0,620439946
20081204;-2,663273257;-7,207861341;-6,764606994;-5,323882962
20081205;-7,712299757;-6,195592388;-5,818815768;-5,643635956
20081208;5,02481802;8,856192733;8,475014425;6,579382305
20081209;-1,333353087;-4,450410681;-3,94304337;-3,363285691
20081210;0,935210557;2,222563145;0,976589725;-1,374142349
20081211;3,91184166;10,52717018;8,785394141;6,658509949
20081212;-0,384369467;-1,937106576;-1,169390267;-0,494362199
20081215;2,347078879;-4,032972233;-3,497317624;-2,112919985
20081216;-0,125470531;-1,044897021;-1,033106568;-1,498035982
20081217;0,125470531;-2,430147795;-1,706790851;-1,179049434
20081218;-1,388911216;-4,883409222;-3,625172902;-2,018612893
20081219;0,063552592;1,465227679;0,465446555;-0,016579624
20081222;2,074893676;-5,970175234;-4,458942966;-3,716016138
20081223;-1,631152853;-2,66486861;-2,479289205;-1,159684135
20081224;-0,380228595;-9,751776835;-7,899730465;-5,19899158
20081229;0,380228595;5,52598763;5,293166402;3,761658132
20081230;1,319529042;-0,991334017;-0,29869875;0,338123737
20081231;-0,751883241;12,70659538;12,34648691;8,365836389
20090102;-2,22584706;2,854247812;1,425113187;1,356789238
20090105;-1,099267455;5,616310592;4,175248682;1,896150856
20090106;1,995560267;1,817324104;1,312773865;-0,180478316
20090107;-1,54145634;-9,697394187;-7,842845494;-5,142799213
20090108;-4,568818417;-2,629114207;-1,459319292;-0,253887791
20090109;-2,191868571;-0,56123169;-0,407016746;0,206332904
20090112;-3,523972813;-3,458491946;-3,699363579;-2,147518427
20090113;-1,154413975;4,377265916;3,485501342;0,999363572
20090114;-3,695912154;0,378708637;0,388500877;0,288276945
20090115;-0,226159162;0,12591817;0,135619511;0,031979533
20090116;-5,030073847;-2,355546576;-2,350744877;-0,947722136
20090119;-8,010884743;-4,546736782;-5,144979299;-4,624337771
20090120;-1,03717438;-1,99734284;-1,789709839;-1,532988631
20090121;-0,086918736;3,159107471;1,810575776;-1,574290796
20090122;1,724180643;0,818498099;1,326444319;0,434972413
20090123;-0,256739551;6,358797037;5,604828812;4,215443975
20090126;3,701011127;-2,958361132;-2,184481236;-2,204548683
20090127;-1,66531742;-7,12618101;-5,248779981;-2,463306017
20090128;-1,437656897;2,640342932;2,566897299;1,917322746
20090129;1,185449953;1,10743103;0,265333353;0,222165348
20090130;-0,252844635;1,051718721;0,406835386;-1,098534906
20090202;-4,841048942;-4,593895809;-4,824220227;-3,494955758
20090203;-6,212042554;0,591583068;0,149015461;0,178571476
20090204;-1,711068361;0,158676221;1,352228506;1,698254153
20090205;-2,229854872;5,099880029;4,030979621;2,494499687
20090206;-1,282701356;-0,539550246;-0,080661428;0,58000845
20090209;-0,198807223;-0,412014027;-0,749218853;-0,409068237
20090210;-7,433761965;-3,111803547;-3,769342477;-2,315238176
20090211;-9,434601454;-1,162676254;-1,018252328;0,331559505
20090212;-3,475484605;1,554492167;1,271203559;0,815481226
20090213;5,111035083;-2,686202903;-2,79663866;-2,51981836
20090216;-2,701279925;-3,474069426;-3,43570458;-3,113722255
20090217;2,817087697;-5,338712808;-5,149379328;-3,838742241
20090218;11,36593185;-3,673781224;-4,019311312;-4,567003683
20090219;11,04097304;5,986580048;5,981532644;4,927296099
20090220;-8,089104768;-0,238435974;-0,301170157;-0,436309143
20090223;-3,365947535;-2,171900044;-1,77907314;-0,114133549
20090224;-2,947581813;3,617594141;3,435806846;2,072027416
20090225;3,979582716;4,1254842;3,564201094;1,112358522
20090226;8,461288346;4,89084253;0;0
20090227;-4,930916675;-0,344605122;3,993192665;2,206307016
20090302;-0,297766969;-9,356413222;-9,005528479;-7,564900773
20090303;8,750827141;3,469094231;3,167634099;1,582433638
20090304;5,837200622;5,38985933;5,307501708;3,110230909
20090305;-3,053006414;-5,527253444;-4,815220562;-1,552448648
20090306;-4,159731715;2,734942754;2,599837991;1,124660402
20090309;7,2986119;-1,618376522;-1,401687426;-0,936336429
20090310;3,043345608;-0,385969375;-0,375649541;0,805775933
20090311;-2,700586061;-5,99992487;-4,943486259;-3,282092944
20090312;1,528043314;8,229994307;7,265587925;5,588255474
20090313;3,477171496;-0,695050583;-0,938782405;-0,585331834
20090316;2,332232769;1,256243508;1,080871133;1,112845563
20090317;2,975943965;3,759682508;4,229757874;3,791501573
20090318;-4,255961442;-1,209608075;-0,136200041;1,163510564
20090319;-5,375415523;6,124154782;5,400573389;6,257267438
20090320;-4,25226752;1,079606128;0,680212201;0,855879266
20090323;5,686286189;4,299066819;4,810941113;4,249931352
20090324;-5,774977991;0,056090494;-0,034928397;-0,215982805
20090325;-5,84641357;-3,325722176;-3,158530837;-2,660563817
20090326;2,965926391;3,250927857;2,913689861;2,087496346
20090327;2,168106606;-2,80746815;-2,356385048;-1,754980799
20090330;0,089325598;-7,986637334;-6,844239044;-4,775529041
20090331;4,793946229;2,55105379;1,561936516;0,693988245
20090401;3,922071315;-1,617727509;-2,197470672;-1,744085401
20090402;-0,656816811;8,523785367;8,069639957;6,957357863
20090403;3,082158004;1,35569766;1,222227596;0,840471874
20090406;1,506171953;-2,327226399;-1,812094353;-0,856102979
20090407;-2,388648598;-1,97184042;-1,644863113;-1,305974033
20090408;3,016101637;0,719777449;0,381992279;0,489771103
20090409;4,584454411;4,676668559;3,741751303;2,136200355
20090414;6,224874701;-0,34582167;-0,144534804;-0,189483714
20090415;-2,271211892;-0,930062697;-1,072445069;-0,920933787
20090416;0;1,175368981;0,945805523;0,556750026
20090417;-0,865182037;0,545062904;0,433526691;0
20090420;-5,049327911;-6,765489965;-6,266572653;-4,311152127
20090421;0,683114611;-0,080256826;-0,095996935;0,215071636
20090422;2,613063942;-0,020074275;-0,269282717;-0,165398648
20090423;-0,962613875;0,600482189;0,403652638;-0,265208178
20090424;2,20759517;3,065675333;2,706192204;1,923294264
20090427;-0,950647013;-2,647472991;-2,304162372;-1,377070941
20090428;-1,256948157;-0,657962697;-0,59404218;-0,396957187
20090429;2,134788468;1,567959085;1,488009142;1,382510499
20090430;3,787519521;0,039377831;0,151371836;0,049023614
20090501;0,97697916;3,956135773;3,930070181;3,262643748
20090504;2,604670894;3,220980296;3,325297443;2,45229001
20090505;-4,214786182;-0,846371198;-0,865347563;-0,930095063
20090506;2,989447501;3,682287788;3,091139328;1,882190708
20090507;1,697833653;0,56828425;0,531688072;0,655040807
20090508;4,606077338;2,914437145;2,650167758;1,521915912
20090511;2,036989591;-1,141683392;-1,12238384;-0,615017314
20090512;-4,907375825;0,797093113;0,420274637;0,390449512
20090513;-2,547054581;-1,078131432;-1,113371825;-1,28216554
20090514;-1,988409701;0,805419485;0,794124305;0,63559536
20090515;-2,524678273;-4,556954947;-4,562285285;-3,954057121
20090518;2,108300156;4,35193181;4,225130549;3,42467526
20090519;1,723586274;0,766678941;0,824018789;0,589704589
20090520;3,887889124;2,794927136;2,579081618;1,005033585
20090521;-1,390290517;-1,095264849;-0,984098478;-0,643859378
20090522;1,126959226;1,408357302;1,40755188;1,328080402
20090525;0;-0,942233601;-0,914292083;-0,75887575
20090526;-1,060314772;1,696211931;1,642981244;1,069687811
20090527;1,389370679;2,036598595;0;0
20090528;-0,329055907;2,979178481;0;0
20090529;-1,728766458;1,739709799;6,541543566;5,127112775
20090601;1,728766458;3,671099181;3,606534671;2,741794567
20090602;-1,393982081;0,293815402;0,363769044;1,370163197
20090603;-4,58199806;-3,416968007;-3,217514854;-1,712230987
20090604;-0,491056757;4,205984373;4,070799372;3,223257931
20090605;-0,705719231;-0,539950236;-0,548737839;-0,33233663
20090608;-5,532706396;-0,675380632;0;0
20090609;-1,280620138;2,531044202;0;0
20090610;0,980769838;1,622610556;3,054622124;2,40753587
20090611;0,747946643;1,527807495;1,606948359;1,227326303
20090612;-2,795799777;-1,039150328;-0,942133483;-0,915840003
20090615;-5,189843813;-2,196652673;-1,98026273;-1,633062617
20090616;4,497799528;0;-0,110405752;-0,105429635
20090617;-0,231749814;0,864701681;0,975617495;0,984066197
20090618;-0,309837583;0,295962446;0;-0,261472237
20090619;3,50645679;-2,666824708;-2,450119101;-1,929745318
20090622;-3,04205967;-3,246227614;0;0
20090623;0,539084863;2,680967757;-0,943336809;-0,952068874
20090624;2,278002833;-0,685483615;-0,553232137;-0,337405003
20090625;1,119832531;2,099852697;2,041605582;1,489460612
20090626;-0,521028347;-1,24010241;0;0
20090629;1,186957556;2,959261039;1,617509517;1,309975729
20090630;-2,237229775;-2,409411586;-2,260688468;-1,857556396
20090701;-0,150943425;-0,738652066;-0,774488135;-0,564062736
20090702;-1,06303203;-3,160333891;-2,969876114;-2,550775955
20090703;-0,535783907;-1,572692327;-1,570443958;-1,419252986
20090706;0,153374263;-2,406409501;-2,471110389;-2,153057674
20090707;0,915338199;-1,288515627;-1,404817728;-1,181059386
20090708;1,880461579;-4,52932017;-4,192465769;-3,434130103
20090709;2,792246062;1,10261958;0,719025228;0,925379738
20090710;1,438873745;-0,953797726;-1,233495816;-0,940375614
20090713;4,742869357;0,280505093;-0,209762078;-0,601686532
20090714;-2,90276082;0,279720462;0,193642145;-0,090566044
20090715;1,737965191;4,294299751;4,260663357;3,691221692
20090716;0,137741069;0,36143671;0,815451861;1,358795118
20090717;-3,075015167;2,524721726;2,362314576;2,158868109
20090720;0,495576235;1,608288345;1,706399443;1,810130181
20090721;2,234729869;0,645115132;0,528247743;0,536710846
20090722;-0,623486606;0,507160992;0,670947675;1,227678767
20090723;0,277585189;2,990109909;2,922425423;2,437511867
20090724;-0,835077922;1,533310831;1,304457799;0,908797825
20090727;-1,265839687;0,694398029;0,333890127;-0,170592522
20090728;-2,363160453;-1,32207484;-1,314152842;-1,069528912
20090729;-1,38637755;-4,912651151;-4,799537737;-3,870577872
20090730;0,950647013;5,241246347;5,010404477;4,215131618
20090731;-0,218579322;2,242531039;2,414101697;2,0038651
20090803;4,979691644;2,547469944;2,35719394;1,862729689
20090804;1,378381575;0,987628944;0,866498789;0,987849978
20090805;-1,865339059;1,642336133;1,593291984;1,414025938
20090806;0,069710703;-0,904622372;-0,65531034;-0,29865627
20090807;-0,209278067;-1,670972715;-1,563774246;-1,544771692
20090810;-0,841519693;-0,122374072;0,013355593;0,416798835
20090811;-0,14094435;-1,425072075;-1,520583695;-1,498440735
20090812;1,261404252;0,614882036;0,581357684;0,268319333
20090813;-0,069662141;0,719378739;0,658383299;0,305771674
20090814;0,278357869;-3,439601694;-3,419252929;-2,864712025
20090817;0,761512853;-1,267801176;-1,184930571;-0,947001685
20090818;1,912626609;2,561192407;2,438131576;2,144153263
20090819;1,009769603;3,021460109;2,992943806;2,528870395
20090820;1,396763646;-1,703664786;-1,728223066;-1,755770294
20090821;1,702726141;1,16595681;1,142101766;0,945331516
20090824;-1,175715699;0,094307855;0,200200267;0,279329791
20090825;-0,065724616;-3,340945995;-3,279871175;-2,724754094
20090826;0;-0,236983452;-0,303574126;-0,30012419
20090827;-0,263331291;1,193132911;1,126849906;1,014181102
20090828;0,197563449;0,385409975;0,395500004;0,27130047
20090831;-1,79228163;-4,40958829;-4,282595201;-3,599022528
20090901;-0,942133483;-2,7953487;-2,750947579;-2,477954963
20090902;1,809094565;-0,103404987;-0,146134762;-0,315825872
20090903;2,037533518;-0,801310119;-0,763362486;-0,717739451
20090904;-1,046445128;-0,447962523;-0,47267444;-0,430347024
20090907;0,785858661;-0,434946317;-0,415430865;-0,530061222
20090908;0,779731046;4,252203668;4,221264175;3,760563878
20090909;-1,894862313;0,625268486;0,621849582;0,456928627
20090910;-0,462810743;0,084961772;0,13766522;0,307919113
20090911;-3,506765257;-3,090436386;-2,959869848;-2,62745342
20090914;-4,707578007;-0,189961334;-0,113426923;-0,041177682
20090915;2,697111677;2,155910745;2,008353438;1,917252282
20090916;-1,481508579;2,557901063;2,268294378;1,947247443
20090917;-3,25055704;-0,1675744;0;0,197928415
20090918;0,220022091;-0,321971301;-0,394961358;-0,356553696
20090921;2,317265164;-3,757316477;-3,513518384;-3,3358843
20090922;-1,660088647;2,643452299;2,415812521;2,164879568
20090923;-2,954424631;-3,667751568;-3,410138895;-3,044126887
20090924;-4,21034249;-4,774643782;-4,406899241;-3,96899829
20090925;2,394861462;0,446394954;0,208643891;0,186473553
20090928;3,081792177;0,658249602;0,726844407;0,699752945
20090929;-3,081792177;-0,076318404;-0,059136607;0
20090930;1,96529379;5,322302387;5,060539147;4,602828447
20091001;-1,053433368;0,173586041;0,322829953;0,325644793
20091002;-1,294270065;-1,631975605;-1,567718006;-1,322716496
20091005;0,534964975;-0,044081993;0;0,096041717
20091006;4,544543626;0,761350676;0,709222831;0,628846912
20091007;-0,877840312;-2,003602676;-1,725040994;-1,607287846
20091008;-1,405868512;3,753087042;3,46250939;3,283002733
20091009;2,647213404;0,32911241;0,222006474;0,227561841
20091012;3,564169133;1,924224622;1,812987441;1,710123203
20091013;0,279720462;1,446881112;1,298192674;1,214986531
20091014;0,834497193;1,198434608;1,148823749;1,059167742
20091015;-1,535270909;3,144829446;3,086422573;2,849917404
20091016;-0,564176391;0,992045729;0,884677864;0,857947445
20091019;2,0994473;1,008020942;1,003374138;0,924277946
20091020;0,964859312;-0,683829515;-0,621159378;-0,516542779
20091021;2,639747185;3,122664985;3,117233057;2,988197557
20091022;-3,46619817;-0,22613075;-0,24682229;-0,155697977
20091023;-0,485269583;-0,744811876;-0,657040732;-0,504687445
20091026;-0,348068573;-2,125832392;-2,048196247;-1,958580946
20091027;-0,559442019;0,85063021;0,746224926;0,673403218
20091028;-0,1403509;-2,679312307;-2,642988186;-2,54586167
20091029;3,51881768;2,833197949;2,831821879;2,753090366
20091030;-1,433961068;-3,70702848;-3,545971509;-3,317957241
20091102;0;1,779289115;1,756697203;1,734616401
20091103;-1,036995121;2,017396752;2,027952895;1,923725317
20091104;-0,208695728;0,993638748;0,986336731;0,906076872
