Reporting starts,Reporting ends,Ad name,Reach,Impressions,Link clicks,Post engagement,Starts,Ends
2020-08-14,2020-08-14,MFS Below 100 Motion - Reach,98624,103640,172,4302,2020-08-10,2020-08-31
2020-08-14,2020-08-14,MFS Below 100 Carousel - Reach,222914,230617,426,694,2020-08-10,2020-08-31
2020-08-13,2020-08-13,MFS Below 300+ Motion - Engagement,15404,19538,312,12419,2020-08-10,2020-08-31
2020-08-13,2020-08-13,MFS Below 100-300 Motion - Engagement,59120,76973,1392,45819,2020-08-10,2020-08-31
2020-08-13,2020-08-13,MFS Below 100 Motion - Reach,122309,126799,168,4994,2020-08-10,2020-08-31
2020-08-13,2020-08-13,MFS Below 100 Carousel - Reach,221889,225987,420,700,2020-08-10,2020-08-31
2020-08-12,2020-08-12,MFS Below 300+ Motion - Engagement,15584,19654,384,13527,2020-08-10,2020-08-31
2020-08-12,2020-08-12,MFS Below 100-300 Motion - Engagement,59181,79906,1616,49071,2020-08-10,2020-08-31
2020-08-12,2020-08-12,MFS Below 100 Motion - Reach,142011,146031,222,5711,2020-08-10,2020-08-31
2020-08-12,2020-08-12,MFS Below 100 Carousel - Reach,221423,226657,394,707,2020-08-10,2020-08-31
2020-08-11,2020-08-11,MFS Below 300+ Motion - Engagement,17108,21702,376,13655,2020-08-10,2020-08-31
2020-08-11,2020-08-11,MFS Below 100-300 Motion - Engagement,66384,91656,1607,49417,2020-08-10,2020-08-31
2020-08-11,2020-08-11,MFS Below 100 Motion - Reach,140221,145432,207,5992,2020-08-10,2020-08-31
2020-08-11,2020-08-11,MFS Below 100 Carousel - Reach,233217,240254,488,820,2020-08-10,2020-08-31
2020-08-10,2020-08-10,MFS Below 300+ Motion - Engagement,10804,11929,152,4660,2020-08-10,2020-08-31
2020-08-10,2020-08-10,MFS Below 100-300 Motion - Engagement,46936,52992,527,17286,2020-08-10,2020-08-31
2020-08-10,2020-08-10,MFS Below 100 Motion - Reach,28104,28870,47,990,2020-08-10,2020-08-31
2020-08-10,2020-08-10,MFS Below 100 Carousel - Reach,151998,157523,297,503,2020-08-10,2020-08-31
